,SalesKey,DateKey,channelKey,StoreKey,ProductKey,PromotionKey,UnitCost,UnitPrice,SalesQuantity,ReturnQuantity,ReturnAmount,DiscountQuantity,DiscountAmount,TotalCost,SalesAmount
502923,263018,2013-12-31 00:00:00.000,2,306,1578,28,72.56,219.0,16,0,0.0,5,219.0,1160.96,3285.0
502858,577649,2013-12-31 00:00:00.000,2,306,566,28,459.4,999.0,16,0,0.0,6,1198.8,7350.4,14785.2
1391711,2432379,2013-12-31 00:00:00.000,2,307,529,23,287.92,869.0,6,0,0.0,0,0.0,1727.52,5214.0
502782,833372,2013-12-31 00:00:00.000,2,306,1395,28,7.81,16.99,16,0,0.0,7,23.786,124.96,248.054
1694233,1889382,2013-12-31 00:00:00.000,2,307,271,23,224.87,489.0,13,0,0.0,1,73.35,2923.31,6283.65
1683703,2667871,2013-12-31 00:00:00.000,3,200,660,22,73.12,159.0,13,0,0.0,4,127.2,950.56,1939.8
2268697,3279512,2013-12-31 00:00:00.000,3,200,917,22,59.31,179.0,6,1,179.0,4,143.2,355.86,930.8
1694193,1622827,2013-12-31 00:00:00.000,2,307,388,23,195.24,382.95,13,0,0.0,1,57.4425,2538.12,4920.9075
503150,966673,2013-12-31 00:00:00.000,2,306,959,28,66.26,200.0,16,0,0.0,1,40.0,1060.16,3160.0
645496,1504598,2013-12-31 00:00:00.000,2,307,292,23,229.93,500.0,13,0,0.0,2,150.0,2989.09,6350.0
503218,1383283,2013-12-31 00:00:00.000,2,306,808,28,6.6,12.95,16,0,0.0,1,2.59,105.6,204.61
503668,1068299,2013-12-31 00:00:00.000,2,306,384,28,348.58,758.0,16,0,0.0,3,454.8,5577.28,11673.2
503609,737186,2013-12-31 00:00:00.000,2,306,975,28,75.88,165.0,16,0,0.0,3,99.0,1214.08,2541.0
503606,722718,2013-12-31 00:00:00.000,2,306,1284,28,12.74,24.99,16,0,0.0,3,14.994,203.84,384.846
503592,633964,2013-12-31 00:00:00.000,2,306,1407,28,8.16,16.0,16,0,0.0,3,9.6,130.56,246.4
1683433,2249647,2013-12-31 00:00:00.000,3,200,1169,22,260.28,566.0,13,0,0.0,2,226.4,3383.64,7131.6
569637,819504,2013-12-31 00:00:00.000,1,245,775,28,5.29,11.5,8,0,0.0,3,6.9,42.32,85.1
503521,143763,2013-12-31 00:00:00.000,2,306,893,28,30.58,59.99,16,0,0.0,3,35.994,489.28,923.846
645472,1378054,2013-12-31 00:00:00.000,2,307,1352,23,10.57,22.99,13,0,0.0,2,6.897,137.41,291.973
569674,887097,2013-12-31 00:00:00.000,1,304,399,28,275.46,599.0,8,0,0.0,3,359.4,2203.68,4432.6
503429,1213556,2013-12-31 00:00:00.000,2,306,1357,28,17.93,38.99,16,0,0.0,2,15.596,286.88,608.244
503394,972554,2013-12-31 00:00:00.000,2,306,1028,28,59.32,129.0,16,0,0.0,2,51.6,949.12,2012.4
1683505,2851437,2013-12-31 00:00:00.000,3,200,1042,22,91.05,198.0,13,0,0.0,2,79.2,1183.65,2494.8
503385,909456,2013-12-31 00:00:00.000,2,306,927,28,17.33,33.99,16,0,0.0,2,13.596,277.28,530.244
1683512,2946750,2013-12-31 00:00:00.000,3,200,605,22,152.08,459.0,13,0,0.0,2,183.6,1977.04,5783.4
503288,338158,2013-12-31 00:00:00.000,2,306,842,28,13.71,26.9,16,0,0.0,2,10.76,219.36,419.64
1391336,2840866,2013-12-31 00:00:00.000,2,199,551,22,760.38,2295.0,6,0,0.0,0,0.0,4562.28,13770.0
645494,1491821,2013-12-31 00:00:00.000,2,307,202,23,316.85,689.0,13,0,0.0,2,206.7,4119.05,8750.3
1550103,2498108,2013-12-31 00:00:00.000,2,306,496,28,82.32,179.0,16,0,0.0,7,250.6,1317.12,2613.4
1694046,2076069,2013-12-31 00:00:00.000,2,307,1319,23,10.57,22.99,13,0,0.0,4,13.794,137.41,285.076
1556557,1887249,2013-12-31 00:00:00.000,1,25,2499,22,12.09,23.72,520,0,0.0,3,14.232,6286.8,12320.168
1658489,1868393,2013-12-31 00:00:00.000,1,87,1537,22,121.93,368.0,6,0,0.0,1,73.6,731.58,2134.4
1618082,1866854,2013-12-31 00:00:00.000,1,230,1144,28,275.92,600.0,8,0,0.0,1,120.0,2207.36,4680.0
2269329,3134577,2013-12-31 00:00:00.000,1,265,835,23,26.97,52.9,26,1,52.9,4,31.74,701.22,1343.66
665303,957325,2013-12-31 00:00:00.000,1,5,1071,22,155.43,338.0,13,0,0.0,2,135.2,2020.59,4258.8
1658504,1931434,2013-12-31 00:00:00.000,1,143,1614,22,86.14,259.99,6,0,0.0,1,51.998,516.84,1507.942
1681872,1754176,2013-12-31 00:00:00.000,4,308,553,22,321.44,699.0,13,0,0.0,3,419.4,4178.72,8667.6
568864,926736,2013-12-31 00:00:00.000,1,223,1170,28,291.09,633.0,8,0,0.0,1,126.6,2328.72,4937.4
2215232,3225947,2013-12-31 00:00:00.000,1,12,51,22,91.95,199.95,13,0,0.0,2,79.98,1195.35,2519.37
2215231,3225780,2013-12-31 00:00:00.000,1,47,254,22,167.73,329.0,13,0,0.0,2,131.6,2180.49,4145.4
568899,1005038,2013-12-31 00:00:00.000,1,206,1232,28,408.36,888.0,8,0,0.0,1,177.6,3266.88,6926.4
1987778,3082765,2013-12-31 00:00:00.000,3,200,1301,22,43.69,95.0,13,1,95.0,2,38.0,524.28,1197.0
2211990,3288902,2013-12-31 00:00:00.000,1,298,1496,23,132.44,288.0,13,0,0.0,4,172.8,1721.72,3571.2
1549614,2288608,2013-12-31 00:00:00.000,2,306,1158,28,516.86,1560.0,16,0,0.0,2,624.0,8269.76,24336.0
511344,464058,2013-12-31 00:00:00.000,1,239,2496,28,5.09,9.99,320,0,0.0,3,5.994,1628.8,3190.806
1985054,1579563,2013-12-31 00:00:00.000,1,140,466,22,128.3,279.0,13,1,279.0,1,55.8,1539.6,3571.2
665403,1056108,2013-12-31 00:00:00.000,1,175,63,22,83.24,181.0,13,0,0.0,2,72.4,1082.12,2280.6
665405,1059037,2013-12-31 00:00:00.000,1,28,619,22,115.43,251.0,13,0,0.0,2,100.4,1500.59,3162.6
1984999,2844432,2013-12-31 00:00:00.000,1,284,478,22,224.97,679.0,13,1,679.0,4,543.2,2699.64,8283.8
1682031,2000146,2013-12-31 00:00:00.000,4,308,546,22,99.06,299.0,13,0,0.0,4,239.2,1287.78,3647.8
2016276,3066940,2013-12-31 00:00:00.000,1,24,385,22,166.2,326.0,26,1,326.0,3,195.6,4321.2,8280.4
1658584,2254327,2013-12-31 00:00:00.000,1,110,1558,22,125.9,380.0,6,0,0.0,1,76.0,755.4,2204.0
1682353,2111378,2013-12-31 00:00:00.000,4,308,1296,22,11.5,25.0,13,0,0.0,1,5.0,149.5,320.0
1549209,2844874,2013-12-31 00:00:00.000,2,306,1643,28,26.62,57.88,16,0,0.0,4,46.304,425.92,879.776
515774,1465727,2013-12-31 00:00:00.000,4,308,2511,22,2.07,4.06,520,0,0.0,3,2.436,1076.4,2108.764
1549138,2481067,2013-12-31 00:00:00.000,2,306,774,28,7.9,15.5,16,0,0.0,4,12.4,126.4,235.6
515595,739676,2013-12-31 00:00:00.000,4,308,2515,22,1.71,3.35,520,0,0.0,4,2.68,889.2,1739.32
2016238,2830703,2013-12-31 00:00:00.000,1,189,761,22,8.62,16.9,26,1,16.9,3,10.14,224.12,429.26
2269382,3262651,2013-12-31 00:00:00.000,1,183,526,22,65.77,129.0,26,1,129.0,4,103.2,1710.02,3250.8
2215242,3234760,2013-12-31 00:00:00.000,1,282,456,22,257.06,559.0,13,0,0.0,2,223.6,3341.78,7043.4
665235,874824,2013-12-31 00:00:00.000,1,145,1633,22,6.39,13.89,13,0,0.0,2,5.556,83.07,175.014
515350,248201,2013-12-31 00:00:00.000,4,308,240,22,152.44,299.0,52,0,0.0,4,239.2,7926.88,15308.8
515247,364837,2013-12-31 00:00:00.000,4,308,828,22,10.99,23.9,39,0,0.0,6,28.68,428.61,903.42
1987761,2931225,2013-12-31 00:00:00.000,3,200,287,22,183.49,399.0,13,1,399.0,1,79.8,2201.88,5107.2
2215239,3231602,2013-12-31 00:00:00.000,1,110,718,22,73.12,159.0,13,0,0.0,2,63.6,950.56,2003.4
665252,898146,2013-12-31 00:00:00.000,1,195,152,22,392.6,1184.97,13,0,0.0,2,473.988,5103.8,14930.622
2269374,3239857,2013-12-31 00:00:00.000,4,308,1476,22,132.44,288.0,26,1,288.0,4,230.4,3311.0,7257.6
568749,694994,2013-12-31 00:00:00.000,1,218,347,28,269.48,586.0,8,0,0.0,1,117.2,2155.84,4570.8
1360651,2976664,2013-12-31 00:00:00.000,1,255,2489,23,7.64,14.99,520,0,0.0,0,0.0,3972.8,7794.8
1964316,2483628,2013-12-31 00:00:00.000,2,199,691,22,78.19,236.0,12,1,236.0,7,330.4,938.28,2501.6
641054,794770,2013-12-31 00:00:00.000,4,310,274,23,183.49,399.0,13,0,0.0,4,239.4,2385.37,4947.6
1549314,1976155,2013-12-31 00:00:00.000,2,306,1460,28,137.96,300.0,16,0,0.0,3,180.0,2207.36,4620.0
641097,1140310,2013-12-31 00:00:00.000,4,310,63,23,83.24,181.0,13,0,0.0,4,108.6,1082.12,2244.4
2206138,3294571,2013-12-31 00:00:00.000,1,258,1035,23,143.26,281.0,6,0,0.0,2,84.3,859.56,1601.7
2206015,3352074,2013-12-31 00:00:00.000,1,171,853,22,76.5,230.9,6,0,0.0,2,92.36,459.0,1293.04
1410522,1636007,2013-12-31 00:00:00.000,1,198,1563,22,123.24,268.0,13,0,0.0,0,0.0,1602.12,3484.0
1690250,1566991,2013-12-31 00:00:00.000,4,310,1029,23,66.26,200.0,13,0,0.0,3,90.0,861.38,2510.0
1410466,1576544,2013-12-31 00:00:00.000,1,147,326,22,152.44,299.0,13,0,0.0,0,0.0,1981.72,3887.0
1682186,1960954,2013-12-31 00:00:00.000,4,308,188,22,53.76,116.9,13,0,0.0,2,46.76,698.88,1472.94
345197,145862,2013-12-31 00:00:00.000,1,259,993,23,143.26,281.0,6,0,0.0,0,0.0,859.56,1686.0
1549875,2877675,2013-12-31 00:00:00.000,2,306,986,28,59.32,129.0,16,0,0.0,1,25.8,949.12,2038.2
345234,462039,2013-12-31 00:00:00.000,1,274,318,23,330.99,999.0,6,0,0.0,0,0.0,1985.94,5994.0
345253,655425,2013-12-31 00:00:00.000,1,301,1622,23,72.56,219.0,6,0,0.0,0,0.0,435.36,1314.0
345260,724127,2013-12-31 00:00:00.000,1,272,622,23,760.38,2295.0,6,0,0.0,0,0.0,4562.28,13770.0
1999304,2711173,2013-12-31 00:00:00.000,2,306,1183,28,503.61,1520.0,16,1,1520.0,1,304.0,7554.15,24016.0
1549708,2998989,2013-12-31 00:00:00.000,2,306,409,28,166.2,326.0,16,0,0.0,2,130.4,2659.2,5085.6
1682238,2423104,2013-12-31 00:00:00.000,4,308,1471,22,105.31,229.0,13,0,0.0,2,91.6,1369.03,2885.4
1390322,2008530,2013-12-31 00:00:00.000,4,310,114,23,82.83,249.99,6,0,0.0,0,0.0,496.98,1499.94
1410564,1673218,2013-12-31 00:00:00.000,1,80,1197,22,220.25,432.0,13,0,0.0,0,0.0,2863.25,5616.0
1999361,1719199,2013-12-31 00:00:00.000,1,296,1441,23,91.97,200.0,26,1,200.0,1,30.0,2391.22,5170.0
569107,1407861,2013-12-31 00:00:00.000,1,220,285,28,167.73,329.0,8,0,0.0,1,65.8,1341.84,2566.2
345982,150490,2013-12-31 00:00:00.000,1,282,1522,22,125.9,380.0,6,0,0.0,0,0.0,755.4,2280.0
345986,186985,2013-12-31 00:00:00.000,1,65,1034,22,96.08,290.0,6,0,0.0,0,0.0,576.48,1740.0
345998,227499,2013-12-31 00:00:00.000,1,46,529,22,287.92,869.0,6,0,0.0,0,0.0,1727.52,5214.0
1682171,1776461,2013-12-31 00:00:00.000,4,308,405,22,321.44,699.0,13,0,0.0,2,279.6,4178.72,8807.4
1359316,2817203,2013-12-31 00:00:00.000,2,306,647,28,44.36,87.0,16,0,0.0,0,0.0,709.76,1392.0
1999203,2640068,2013-12-31 00:00:00.000,4,309,1384,28,8.66,16.99,16,1,16.99,1,3.398,138.56,268.442
1682135,3013306,2013-12-31 00:00:00.000,4,308,1200,22,331.32,1000.0,13,0,0.0,4,800.0,4307.16,12200.0
1984785,2994017,2013-12-31 00:00:00.000,1,130,1355,22,15.17,32.99,13,1,32.99,3,19.794,182.04,409.076
511004,248937,2013-12-31 00:00:00.000,1,271,621,23,70.87,139.0,52,0,0.0,2,41.7,3685.24,7186.3
2206002,3291567,2013-12-31 00:00:00.000,1,169,529,22,287.92,869.0,6,0,0.0,2,347.6,1727.52,4866.4
1682058,2247408,2013-12-31 00:00:00.000,4,308,1039,22,90.55,196.9,13,0,0.0,4,157.52,1177.15,2402.18
568961,1136884,2013-12-31 00:00:00.000,1,223,1625,28,72.56,219.0,8,0,0.0,1,43.8,580.48,1708.2
1682062,2281941,2013-12-31 00:00:00.000,4,308,1147,22,301.21,655.0,13,0,0.0,4,524.0,3915.73,7991.0
1658459,1770328,2013-12-31 00:00:00.000,1,147,1567,22,128.88,389.0,6,0,0.0,1,77.8,773.28,2256.2
510697,972592,2013-12-31 00:00:00.000,1,53,2493,22,12.74,24.99,520,0,0.0,2,9.996,6624.8,12984.804
510277,1222018,2013-12-31 00:00:00.000,1,251,2498,23,12.09,23.72,520,0,0.0,4,14.232,6286.8,12320.168
510074,946514,2013-12-31 00:00:00.000,1,300,2515,23,1.71,3.35,520,0,0.0,4,2.01,889.2,1739.99
2205979,3209192,2013-12-31 00:00:00.000,1,87,1650,22,96.08,289.99,6,0,0.0,2,115.996,576.48,1623.944
509880,657988,2013-12-31 00:00:00.000,1,34,2491,22,12.74,24.99,520,0,0.0,4,19.992,6624.8,12974.808
343398,423005,2013-12-31 00:00:00.000,2,307,851,23,76.5,230.9,6,0,0.0,0,0.0,459.0,1385.4
1359341,3066660,2013-12-31 00:00:00.000,2,306,698,28,86.45,188.0,16,0,0.0,0,0.0,1383.2,3008.0
509235,332685,2013-12-31 00:00:00.000,1,152,2494,22,1.5,2.94,520,0,0.0,3,1.764,780.0,1527.036
344231,1376454,2013-12-31 00:00:00.000,4,310,1609,23,86.14,259.99,6,0,0.0,0,0.0,516.84,1559.94
344247,176430,2013-12-31 00:00:00.000,4,308,884,22,49.7,150.0,6,0,0.0,0,0.0,298.2,900.0
570125,197602,2013-12-31 00:00:00.000,1,212,359,28,187.62,368.0,8,0,0.0,2,147.2,1500.96,2796.8
665732,1408408,2013-12-31 00:00:00.000,1,32,980,22,84.84,184.5,13,0,0.0,2,73.8,1102.92,2324.7
570151,245173,2013-12-31 00:00:00.000,1,224,361,28,198.32,389.0,8,0,0.0,2,155.6,1586.56,2956.4
497076,218660,2013-12-31 00:00:00.000,4,309,257,28,197.28,429.0,16,0,0.0,4,343.2,3156.48,6520.8
1991099,2182530,2013-12-31 00:00:00.000,4,308,1439,22,138.42,301.0,39,1,301.0,6,361.2,5259.96,11377.8
497137,712829,2013-12-31 00:00:00.000,4,309,874,28,43.06,129.95,16,0,0.0,4,103.96,688.96,1975.24
2204307,3326905,2013-12-31 00:00:00.000,1,145,693,22,75.87,229.0,6,0,0.0,3,137.4,455.22,1236.6
649924,1478372,2013-12-31 00:00:00.000,1,301,1149,23,220.25,432.0,13,0,0.0,1,64.8,2863.25,5551.2
2018075,2242493,2013-12-31 00:00:00.000,2,199,1499,22,142.56,310.0,6,1,310.0,3,186.0,855.36,1674.0
571663,1521123,2013-12-31 00:00:00.000,1,213,1180,28,530.11,1600.0,8,0,0.0,4,1280.0,4240.88,11520.0
977171,176192,2013-12-31 00:00:00.000,4,308,396,22,430.38,1299.0,6,1,1299.0,4,1039.2,2582.28,6754.8
977163,99893,2013-12-31 00:00:00.000,3,200,1560,22,151.76,330.0,6,1,330.0,4,264.0,910.56,1716.0
571674,1542422,2013-12-31 00:00:00.000,1,213,374,28,430.38,1299.0,8,0,0.0,4,1039.2,3443.04,9352.8
2204309,3333996,2013-12-31 00:00:00.000,1,1,663,22,82.17,248.0,6,0,0.0,3,148.8,493.02,1339.2
641424,919688,2013-12-31 00:00:00.000,4,310,1358,23,18.39,39.99,13,0,0.0,1,5.9985,239.07,513.8715
497033,1390825,2013-12-31 00:00:00.000,2,199,1268,22,25.47,49.96,26,0,0.0,3,29.976,662.22,1268.984
1694308,2485156,2013-12-31 00:00:00.000,2,307,667,23,87.37,190.0,13,0,0.0,1,28.5,1135.81,2441.5
496994,941987,2013-12-31 00:00:00.000,2,199,1538,22,128.76,280.0,26,0,0.0,3,168.0,3347.76,7112.0
666380,492572,2013-12-31 00:00:00.000,1,126,1299,22,11.5,25.0,13,0,0.0,1,5.0,149.5,320.0
976598,1009720,2013-12-31 00:00:00.000,2,306,801,28,10.15,19.9,32,1,19.9,4,15.92,324.8,620.88
1410595,1702570,2013-12-31 00:00:00.000,1,187,52,22,91.95,199.95,13,0,0.0,0,0.0,1195.35,2599.35
666396,506069,2013-12-31 00:00:00.000,1,44,730,22,62.54,136.0,13,0,0.0,1,27.2,813.02,1740.8
977376,182860,2013-12-31 00:00:00.000,1,189,886,22,49.7,150.0,6,1,150.0,4,120.0,298.2,780.0
497165,891351,2013-12-31 00:00:00.000,4,309,928,28,17.33,33.99,16,0,0.0,4,27.192,277.28,516.648
570159,263052,2013-12-31 00:00:00.000,1,237,348,28,348.58,758.0,8,0,0.0,2,303.2,2788.64,5760.8
666290,417629,2013-12-31 00:00:00.000,1,124,713,22,73.58,160.0,13,0,0.0,1,32.0,956.54,2048.0
1618379,2498841,2013-12-31 00:00:00.000,1,217,433,28,321.05,969.0,8,0,0.0,1,193.8,2568.4,7558.2
979913,330910,2013-12-31 00:00:00.000,2,199,1249,22,25.49,49.99,52,2,99.98,5,49.99,1325.48,2549.49
497487,727440,2013-12-31 00:00:00.000,4,309,397,28,321.44,699.0,16,0,0.0,2,279.6,5143.04,10904.4
571512,1210015,2013-12-31 00:00:00.000,1,224,1117,28,144.52,436.2,8,0,0.0,4,348.96,1156.16,3140.64
979628,660860,2013-12-31 00:00:00.000,2,306,1606,28,73.57,159.99,48,2,319.98,18,575.964,3384.22,7103.556
650032,139826,2013-12-31 00:00:00.000,1,256,1645,23,26.62,57.88,13,0,0.0,2,17.364,346.06,735.076
571540,1272820,2013-12-31 00:00:00.000,1,222,590,28,459.4,999.0,8,0,0.0,4,799.2,3675.2,7192.8
1990769,2115382,2013-12-31 00:00:00.000,4,308,1460,22,137.96,300.0,52,1,300.0,9,540.0,7035.96,15060.0
1990821,1624638,2013-12-31 00:00:00.000,4,308,1299,22,11.5,25.0,26,1,25.0,8,40.0,287.5,610.0
977472,1103406,2013-12-31 00:00:00.000,1,103,1229,22,516.86,1560.0,6,1,1560.0,4,1248.0,3101.16,8112.0
2204327,3392235,2013-12-31 00:00:00.000,1,30,1092,22,222.98,673.0,6,0,0.0,3,403.8,1337.88,3634.2
649990,39305,2013-12-31 00:00:00.000,1,278,1175,23,209.03,410.0,13,0,0.0,2,123.0,2717.39,5207.0
497310,576730,2013-12-31 00:00:00.000,4,309,893,28,30.58,59.99,16,0,0.0,3,35.994,489.28,923.846
1990907,1625848,2013-12-31 00:00:00.000,4,308,1554,22,137.04,298.0,26,1,298.0,7,417.2,3426.0,7330.8
1615879,2811566,2013-12-31 00:00:00.000,2,306,984,28,91.05,198.0,8,0,0.0,3,118.8,728.4,1465.2
649962,7145,2013-12-31 00:00:00.000,1,274,1095,23,164.63,358.0,13,0,0.0,2,107.4,2140.19,4546.6
571605,1398401,2013-12-31 00:00:00.000,1,228,1581,28,72.56,219.0,8,0,0.0,4,175.2,580.48,1576.8
497183,1017354,2013-12-31 00:00:00.000,4,309,509,28,70.87,139.0,16,0,0.0,4,111.2,1133.92,2112.8
496878,14932,2013-12-31 00:00:00.000,2,199,786,22,5.86,11.5,26,0,0.0,3,6.9,152.36,292.1
496873,1545817,2013-12-31 00:00:00.000,2,199,279,22,152.44,299.0,26,0,0.0,4,239.2,3963.44,7534.8
1393322,2695827,2013-12-31 00:00:00.000,1,299,764,23,13.22,39.9,6,0,0.0,0,0.0,79.32,239.4
2182388,3307689,2013-12-31 00:00:00.000,2,307,548,23,87.37,190.0,26,0,0.0,4,114.0,2271.62,4826.0
1555141,1961615,2013-12-31 00:00:00.000,1,93,2494,22,1.5,2.94,520,0,0.0,2,1.176,780.0,1527.624
355243,1417946,2013-12-31 00:00:00.000,4,308,1413,22,137.5,299.0,13,0,0.0,0,0.0,1787.5,3887.0
